,Id,predictions
3140,19552,0
4554,21005,0
2117,9322,0
5330,9917,1
5096,186,0
1101,1710,0
3270,2171,0
2981,20735,0
1577,26506,0
408,15534,0
5206,24443,1
4175,19909,0
4430,6733,0
4293,13944,0
685,15582,0
323,12120,0
4038,19995,0
1083,4574,0
2508,26629,0
1218,10243,0
4838,11607,0
2945,11472,0
4280,1742,0
4268,4007,0
2826,12461,0
710,18676,0
522,3026,1
1414,14796,0
50,26322,0
3741,18925,0
486,17583,0
4631,1134,0
3005,11258,0
3317,5762,0
1390,13857,0
2247,5177,0
776,21479,0
975,20132,0
1300,2454,0
5149,22387,0
4455,13245,0
1187,3423,0
3678,15827,0
464,15074,0
4349,25652,0
2877,10132,0
3802,13761,0
3623,7570,0
204,2594,0
2167,20577,0
5212,25356,0
1987,25259,0
2145,16104,0
2748,6785,0
4578,7979,0
701,11192,0
4101,25559,0
2073,7532,0
529,18768,0
3854,25063,0
1296,15911,0
1503,26348,0
4527,1910,0
4125,20074,0
1600,21749,0
1729,3897,0
1817,17383,0
3778,7523,0
806,11400,0
3086,24168,0
1837,16953,0
444,26265,0
2496,24401,0
3210,1267,0
5005,15159,0
1696,21500,0
3099,814,0
2885,9212,0
4612,15701,0
4409,6857,0
4679,5420,0
4552,8060,0
2614,894,0
2489,13143,0
3205,6559,0
326,14546,0
2814,14644,0
491,15864,1
531,20278,0
4076,26405,0
819,11210,0
4028,178,0
3160,2283,0
328,11250,0
1382,7770,0
3543,13482,0
90,996,0
3505,4030,0
4305,3561,0
2766,20902,0
4490,19298,0
3002,16698,0
1084,12237,0
1909,22573,0
2463,4708,0
4176,25731,0
3790,5070,0
3316,2647,0
4424,542,0
4030,20309,0
224,22162,0
3459,17015,0
3295,868,0
1757,19096,0
2909,8973,0
2974,21584,0
993,7228,0
1252,26619,0
888,5856,0
3323,7453,0
372,355,1
3687,3821,0
5028,266,0
2923,20709,0
2548,22605,0
539,11203,1
2026,21655,0
3442,5165,0
4104,24820,0
1014,16729,0
1521,5441,0
3193,21057,0
104,19748,0
2750,24156,0
1740,14816,0
1501,1075,0
939,296,0
2780,11240,0
228,13555,0
784,1114,0
321,23958,0
3618,5739,0
1928,4561,0
4701,11623,0
2191,16580,0
1059,25038,0
3258,2211,0
3533,24940,0
2215,1713,0
2987,1617,0
3511,17971,0
4758,19042,0
2702,5746,0
198,19413,0
3228,20056,0
3138,6403,0
4117,25305,0
193,17433,0
5075,6705,0
665,23181,0
5152,11827,0
3419,2384,0
1201,4863,0
1264,14605,0
1103,3442,0
557,15732,1
1725,11871,0
3559,12146,0
2254,17259,0
1918,23082,0
3255,282,0
4603,18543,0
4765,7178,0
1005,14157,0
3743,19169,0
3528,23997,0
2653,11060,0
1828,2407,0
3382,15609,0
459,14919,0
1167,22460,1
4279,26528,0
5074,21801,1
4235,20280,0
4525,10049,0
4143,25818,0
5282,16289,0
876,13837,0
1386,15668,0
4443,23697,0
2068,4021,0
1070,2391,1
5090,26116,0
2469,17735,0
3029,24343,0
795,23041,0
139,92,1
4343,14977,1
5056,18187,0
4946,19890,0
3755,6588,0
2721,20356,0
3141,23150,0
632,528,0
2311,10384,0
1787,15043,0
2350,18245,0
4645,6659,1
5026,9963,0
3201,7341,0
3995,15715,0
620,13539,0
2566,24178,0
1761,3145,0
1808,2105,0
2696,6266,0
1616,25868,1
1023,11760,0
297,15386,0
2419,11482,0
2914,17105,0
2314,13342,0
163,23238,0
4564,6520,0
3835,18491,0
3184,1261,1
4161,4026,0
475,21515,0
4725,17108,0
4433,2504,0
291,23137,0
2435,2077,0
2455,5646,0
3662,16192,0
4254,6794,0
3932,13003,0
